Stall Name,Cuisine,Cuisine 1,Cuisine 2,Cuisine 3,Shop Type,Address,Google Address,Average Review,Number of Reviews
"Soon Lee Fried Hor Fun Sliced Fish, Prawn . Beef","['Cantonese', 'Chinese']",Cantonese,Chinese,,Kiosk or Stall,#01-51 Ghim Moh Market & Food Centre Ghim Moh Road 270020,"20 Ghim Moh Rd, #01-56, Singapore 270020",4.7,36.0
Yes Crepe,"['Desserts', 'Taiwanese']",Desserts,Taiwanese,,Confectionery or Bakery,#01-113 Hdb-kallang/whampoa Saint George's Road 320003,"L1-K-09 IOI Mall, Lebuh Putra Utama, Bandar Putra, Kulai, Malaysia",,36.0
Hock Bee Drinks Stall,"['Drinks', 'Snacks']",Drinks,Snacks,,Kiosk or Stall,#01-13 Kallang Estate Food Centre Old Airport Road 397972,,,
Boon Keng Road Fish Head Bee Hoon . Seafood Soup,"['Local', 'Singaporean']",Local,Singaporean,,Kiosk or Stall,#01-53  Bedok North Avenue 2 460416,"416 Bedok North Ave 2, Block 416, Singapore 460416",4.1,536.0
Seng Kee Teochew Kway Teow Mee,['Chinese'],Chinese,,,Kiosk or Stall,#01-33 Albert Centre Temporary Food Centre Queen Street 188555,"475 Changi Rd, Singapore 419892",,536.0
The Verandah,['Western'],Western,,,Cafe, Kampong Glam Conservation Area Sultan Gate 198485,"227 Pasir Panjang Rd, Singapore 117341",5.0,1.0
Tian Tian Seafood Restaurant,"['Chinese', 'Seafood', 'Zi Char']",Chinese,Seafood,Zi Char,Restaurant,  Outram Road 169042,"239 Outram Rd, Singapore 169042",4.2,270.0
Por Kee Eating House,"['Asian', 'Chinese', 'Zi Char']",Asian,Chinese,Zi Char,Restaurant,#01-02  Seng Poh Lane 160069,"69 Seng Poh Ln, #01-02, Singapore 160069",4.2,786.0
Jet Winds Western Food,['Western'],Western,,,Kiosk or Stall,#01-29 Kaki Bukit 511 Market and Food Centre Bedok North Street 3 460511,"511 Bedok North Street 3, Singapore 460511",4.8,8.0
Hai Xian Zhu Zhou (Ke Kou Mian),['Chinese'],Chinese,,,Kiosk or Stall,#01-01 Choh Dee Place Gangsa Road 671163,"233 Yishun Street 21, Singapore 760233",4.1,272.0
Burger King (Tiong Bahru Plaza),"['American', 'Western']",American,Western,,Fast Food Place,#01-106 Tiong Bahru Plaza Tiong Bahru Road 168732,"302 Tiong Bahru Rd, #01-106, Singapore 168732",3.3,72.0
