Stall Name,Cuisine,Shop Type,Address
My Genie Gourmet (Old Airport Rd),"['Asian', 'Chinese', 'Halal', 'Snacks']",Kiosk or Stall,#01-157 Old Airport Road Food Centre Old Airport Road 390051
Mattar Road Seafood Barbecue,"['Asian', 'Chinese', 'Seafood']",Kiosk or Stall,#01-63 Old Airport Road Food Centre Old Airport Road 390051
Fu Cheng Shi Pin / Homemade Spring Roll Springroll Skin (Old Airport Road Food Centre),['Chinese'],Kiosk or Stall,#01-94 Old Airport Road Food Centre Old Airport Road 390051
Toa Payoh Rojak,"['Asian', 'Local', 'Singaporean', 'Snacks']",Kiosk or Stall,#01-108 Old Airport Road Food Centre Old Airport Road 390051
Roast Paradise,['Asian'],Kiosk or Stall,#01-121 Old Airport Road Food Centre Old Airport Road 390051
Que Restaurant,"['Asian', 'Chinese']",Restaurant,  Geylang Road 389521
Yi Pin Ju,"['Chinese', 'Sichuan']",Restaurant,  Macpherson Road 368220
Indian Curry House (Bukit Timah),"['Asian', 'Indian', 'North Indian', 'South Indian', 'Wine']",Bar or Pub,#01-03 Sixth Avenue Center Bukit Timah Road 279883
Himalaya Kitchen (MacPherson),"['Asian', 'Indian', 'Nepalese', 'North Indian', 'Vegetarian']",Restaurant,  MacPherson Road 368212
So Pho (Jewel Changi Airport),['Vietnamese'],Restaurant,#B1-248 Jewel Changi Airport Airport Boulevard 819666
Lucy's Penang Delights,"['Asian', 'Chinese', 'Malaysian', 'Nonya / Peranakan']",Kiosk or Stall,#01-05 Aljunied Market & Food Centre Aljunied Avenue 2 380117
Blanco Court Hot & Cold Desserts,"['Chinese', 'Desserts', 'Drinks', 'Local', 'Singaporean']",Confectionery or Bakery,#01-137 Old Airport Road Food Centre Old Airport Road 390051
Dong Fang Jiao Zi,"['Chinese', 'Dongbei']",Restaurant, Geylang Conservation Area Geylang Road 389385
Bell’s Cottage Cafe,['Desserts'],Cafe,#01-233 Clementi Avenue 2 Shopping Centre Clementi Avenue 2 120354
Crab at Bay,"['Chinese', 'Seafood']",Restaurant,  Macpherson Road 368227
168 Curry Chicken,[None],Kiosk or Stall,#01-72 Old Airport Road Food Centre Old Airport Road 390051
51 Old Airport Road Char Kway Teow,[None],Kiosk or Stall,#01-71 Old Airport Road Food Centre Old Airport Road 390051
Whyzee Birthday Cake Delivery,['Desserts'],Confectionery or Bakery,#01-109 Clementi Avenue 2 Clementi Avenue 2 120352
