placeId,Stall Name,Cuisine,Cuisine 1,Cuisine 2,Cuisine 3,Shop Type,Address,Google Address,Average Review,Number of Reviews
90,Chinatown Beef King,[None],,,,Kiosk or Stall,#01-115 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-115 ABC Brickworks Market and Food Centre, Singapore 150006",4.3,4
91,Gu Zao Ren Seafood Taiwan Porridge,"['Chinese', 'Seafood', 'Taiwanese']",Chinese,Seafood,Taiwanese,Kiosk or Stall,#01-142 & 143 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-142/143, Singapore 150006",4.2,21
92,Bakery New Hong Kong,"['Desserts', 'Local', 'Snacks']",Desserts,Local,Snacks,Confectionery or Bakery,#01-129 ABC Brickworks Market & Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #1-129, Singapore 150006",4.6,5
93,Mumbai 2 Goa,"['Asian', 'Indian', 'North Indian', 'South Indian']",Asian,Indian,North Indian,Restaurant,  Syed Alwi Road 207656,"77 Syed Alwi Rd, Singapore 207656",4.5,2
94,The Summerhouse,['Western'],Western,,,Cafe,  Park Lane 798387,"3 Park Ln, Singapore 798387",4.2,859
95,Polar Puffs & Cakes (The Seletar Mall),"['Asian', 'Fusion', 'Halal', 'Snacks']",Asian,Fusion,Halal,Cafe,#B2-K3 The Seletar Mall Sengkang West Avenue 797653,,,
96,Puny Fish,"['Asian', 'Japanese']",Asian,Japanese,,Restaurant,#01-5142 Brickworks Estate Jalan Bukit Merah 150002,,,
97,HJH Maimunah Restaurant (Jln Pisang),"['Halal', 'Indonesian', 'Malaysian']",Halal,Indonesian,Malaysian,Restaurant,  Jalan Pisang 199078,"11 Jln Pisang, Singapore 199078",,
98,Soon Lee Fried Kway Teow Fried Oyster Carrot Cake (ABC Brickworks Food Centre),"['Chinese', 'Snacks']",Chinese,Snacks,,Kiosk or Stall,#01-36 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-36 ABC Brickworks Market and Food Centre, Singapore 150006",,
99,Heng Heng Hot & Cold Dessert,"['Chinese', 'Desserts', 'Drinks', 'Local']",Chinese,Desserts,Drinks,Kiosk or Stall,#01-101 ABC Brickworks Food Centre Jalan Bukit Merah 150006,,,
100,Tong Fong Fatt Hainanese Boneless Chicken Rice,"['Chinese', 'Hainanese', 'Local']",Chinese,Hainanese,Local,Kiosk or Stall,#01-32 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, Singapore 150006",2.7,24
101,Swiss-treats,"['Desserts', 'European', 'Snacks', 'Swiss', 'Western']",Desserts,European,Snacks,Confectionery or Bakery, Psc Building Jalan Boon Lay 619529,"348 Jln Boon Lay, Singapore 619529",1,1
102,Boost (Seletar Mall),"['Fruits & Drinks', 'Juices', 'Snacks']",Fruits & Drinks,Juices,Snacks,Kiosk or Stall,#B2-21 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #B2-21 The Seletar Mall, Singapore 797653",3,2
